시도군구,광역시도,행정구역,x,y,시도,군구,mc,king,sub,lot,GRDP,인구수,B_ratio,GP
강원도 강릉시,강원도,강릉시,11,4,,,,,,,,,,
강원도 고성군,강원도,고성군,9,0,,,,,,,,,,
강원도 동해시,강원도,동해시,11,5,,,,,,,,,,
강원도 삼척시,강원도,삼척시,11,8,,,,,,,,,,
강원도 속초시,강원도,속초시,9,1,,,,,,,,,,
강원도 양구군,강원도,양구군,8,0,,,,,,,,,,
강원도 양양군,강원도,양양군,10,2,,,,,,,,,,
강원도 영월군,강원도,영월군,10,8,,,,,,,,,,
강원도 원주시,강원도,원주시,10,7,,,,,,,,,,
강원도 인제군,강원도,인제군,9,2,,,,,,,,,,
강원도 정선군,강원도,정선군,11,6,,,,,,,,,,
강원도 철원군,강원도,철원군,6,0,,,,,,,,,,
강원도 춘천시,강원도,춘천시,10,3,,,,,,,,,,
강원도 태백시,강원도,태백시,11,7,,,,,,,,,,
강원도 평창군,강원도,평창군,10,6,,,,,,,,,,
강원도 홍천군,강원도,홍천군,10,4,,,,,,,,,,
강원도 화천군,강원도,화천군,7,0,,,,,,,,,,
강원도 횡성군,강원도,횡성군,10,5,,,,,,,,,,
경기도 가평군,경기도,가평군,9,3,,,,,,,,,,
경기도 고양시,경기도,고양시,4,2,경기도,고양시,11.0,7.0,19.0,25.0,21542187.0,1068641.0,1.48,20.158488210727455
경기도 과천시,경기도,과천시,7,7,,,,,,,,,,
경기도 광명시,경기도,광명시,3,3,경기도,광명시,5.0,1.0,3.0,5.0,8116318.0,315920.0,1.8,25.691054697391746
경기도 광주시,경기도,광주시,8,7,,,,,,,,,,
경기도 구리시,경기도,구리시,9,4,,,,,,,,,,
경기도 군포시,경기도,군포시,5,8,경기도,군포시,3.0,1.0,2.0,4.0,7487177.0,275989.0,1.5,27.128534108243443
경기도 김포시,경기도,김포시,2,3,,,,,,,,,,
경기도 남양주시,경기도,남양주시,8,3,경기도,남양주시,4.0,4.0,1.0,18.0,10974908.0,702545.0,0.5,15.621644165142447
경기도 동두천시,경기도,동두천시,7,2,경기도,동두천시,1.0,1.0,1.0,2.0,1768912.0,94719.0,1.5,18.67536608283449
경기도 부천시,경기도,부천시,2,4,경기도,부천시,6.0,10.0,12.0,17.0,17462247.0,828947.0,1.6470588235294117,21.065577172002552
